OBJECTID;Shape_Leng;Shape_Area;COD_DIS;COD_DIS_TX;DISTRI_MAY;NOMBRE;DISTRI_MT
11;10304,07973;5228246,741;1;1;CENTRO;Centro;CENTRO
6;12806,76426;6462175,63;2;2;ARGANZUELA;Arganzuela;ARGANZUELA
9;9523,885329;5466211,164;3;3;RETIRO;Retiro;RETIRO
12;10866,33577;5392403,428;4;4;SALAMANCA;Salamanca;SALAMANCA
17;13396,81708;9175481,878;5;5;CHAMARTIN;Chamartín;CHAMARTÍN
15;9919,059595;5374724,446;6;6;TETUAN;Tetuán;TETUÁN
13;9019,542776;4679185,047;7;7;CHAMBERI;Chamberí;CHAMBERÍ
21;94482,14556;237838370,4;8;8;FUENCARRAL - EL PARDO;Fuencarral - El Pardo;FUENCARRAL - EL PARDO
16;41034,34336;46531136,2;9;9;MONCLOA - ARAVACA;Moncloa - Aravaca;MONCLOA - ARAVACA
7;28181,05527;25427202,6;10;10;LATINA;Latina;LATINA
4;18083,30558;14048316,11;11;11;CARABANCHEL;Carabanchel;CARABANCHEL
3;11878,91045;7777717,293;12;12;USERA;Usera;USERA
5;17263,77382;14968606,15;13;13;PUENTE DE VALLECAS;Puente de Vallecas;PUENTE DE VALLECAS
8;10814,07229;6103167,529;14;14;MORATALAZ;Moratalaz;MORATALAZ
18;21524,70026;11425677,82;15;15;CIUDAD LINEAL;Ciudad Lineal;CIUDAD LINEAL
20;26988,38785;27419761,67;16;16;HORTALEZA;Hortaleza;HORTALEZA
1;18342,36139;20187586,34;17;17;VILLAVERDE;Villaverde;VILLAVERDE
2;33480,66228;51467238,51;18;18;VILLA DE VALLECAS;Villa de Vallecas;VILLA DE VALLECAS
10;34265,39005;35266713,27;19;19;VICALVARO;Vicálvaro;VICÁLVARO
14;26780,32886;22292392,33;20;20;SAN BLAS - CANILLEJAS;San Blas - Canillejas;SAN BLAS - CANILLEJAS
19;28730,35067;41922811,47;21;21;BARAJAS;Barajas;BARAJAS
